iter	RMSE
386	2.373200786
387	2.371316733
388	2.366012526
389	2.355624936
390	2.350219746
391	2.341732557
392	2.335624516
393	2.323032768
394	2.321365969
395	2.315625752
396	2.310183619
397	2.307163397
398	2.305245102
399	2.298058191
400	2.289385887
401	2.284511076
402	2.276562113
403	2.271432296
404	2.266292969
405	2.264529234
406	2.258241324
407	2.248849607
408	2.240005704
409	2.235316086
410	2.230031658
411	2.224276121
412	2.21947388
413	2.211988975
414	2.20586964
415	2.200112247
416	2.192742412
417	2.188414378
418	2.182831141
419	2.181688797
420	2.180159445
421	2.178750319
422	2.17046851
423	2.164379147
424	2.156680136
425	2.154082539
426	2.152641701
427	2.151223438
428	2.144734504
429	2.139689766
430	2.136004711
431	2.131015742
432	2.124189166
433	2.11711435
434	2.109427129
435	2.103658621
436	2.098737308
437	2.096971588
438	2.094572024
439	2.086761415
440	2.085569323
441	2.074905324
442	2.073593631
443	2.065541798
444	2.058507091
445	2.054474607
446	2.046310197
447	2.039161368
448	2.036204473
449	2.029089677
450	2.021213458
451	2.015616887
452	2.01167216
453	2.004381065
454	1.998319734
455	1.99157258
456	1.986654866
457	1.981661008
458	1.976930905
459	1.969544986
460	1.965784767
461	1.96200563
462	1.958531939
463	1.952083663
464	1.946064269
465	1.940805916
466	1.936769349
467	1.932870377
468	1.927326448
469	1.920884744
470	1.915275532
471	1.907568678
472	1.901778018
473	1.900604592
474	1.896351146
475	1.892868759
476	1.887462777
477	1.88380587
478	1.878600235
479	1.873670305
480	1.868529719
481	1.863741359
482	1.862647186
483	1.856965199
484	1.853787683
485	1.852966843
486	1.850151831
487	1.846120244
488	1.845093628
489	1.84225142
490	1.840224044
491	1.836500252
492	1.831018432
493	1.825828732
494	1.819388827
495	1.816265876
496	1.808327587
497	1.80604278
498	1.804721712
499	1.803046291
