iter	Passed	Remaining
405	6920	1602
406	6938	1585
407	6955	1568
408	6972	1551
409	6990	1534
410	7007	1517
411	7024	1500
412	7041	1483
413	7057	1466
414	7074	1448
415	7092	1432
416	7109	1415
417	7127	1398
418	7145	1381
419	7161	1364
420	7178	1347
421	7195	1329
422	7211	1312
423	7229	1295
424	7247	1278
425	7263	1261
426	7280	1244
427	7298	1227
428	7316	1210
429	7333	1193
430	7349	1176
431	7367	1159
432	7385	1142
433	7401	1125
434	7417	1108
435	7434	1091
436	7450	1074
437	7467	1057
438	7483	1039
439	7499	1022
440	7515	1005
441	7533	988
442	7550	971
443	7566	954
444	7582	937
445	7599	920
446	7616	903
447	7633	886
448	7650	869
449	7667	851
450	7685	835
451	7703	818
452	7720	801
453	7736	783
454	7752	766
455	7768	749
456	7785	732
457	7802	715
458	7819	698
459	7835	681
460	7851	664
461	7867	647
462	7884	630
463	7901	613
464	7919	596
465	7936	579
466	7953	562
467	7970	544
468	7987	527
469	8004	510
470	8022	493
471	8039	476
472	8056	459
473	8073	442
474	8090	425
475	8106	408
476	8124	391
477	8141	374
478	8158	357
479	8175	340
480	8192	323
481	8209	306
482	8226	289
483	8242	272
484	8258	255
485	8274	238
486	8291	221
487	8309	204
488	8326	187
489	8344	170
490	8361	153
491	8379	136
492	8397	119
493	8414	102
494	8430	85
495	8446	68
496	8462	51
497	8478	34
498	8494	17
499	8511	0
